generator,median,firstquartile,maximum,minimum,thirdquartile
GE,0.563876651982,0.536105032823,0.735294117647,0.296296296296,0.589519650655,
hopper,0.649789029536,0.619450317125,0.849256900212,0.409978308026,0.67903930131,
launchpad,0.797520661157,0.746031746032,1.0,0.462845010616,0.848790322581,
launchpad-rhythm,0.808928571429,0.74569789675,1.0,0.482978723404,0.875243664717,
notch,0.534065934066,0.512087912088,0.70704845815,0.324384787472,0.556291390728,
notch param,0.375280898876,0.300230946882,0.580357142857,0.0885780885781,0.422121896163,
notch param rand,0.475555555556,0.417808219178,0.735483870968,0.115720524017,0.52808988764,
ORE,0.733870967742,0.707317073171,0.942687747036,0.462203023758,0.758620689655,
original,0.759916492693,0.699797160243,0.969798657718,0.0968992248062,0.82774049217,
pb count,0.858299595142,0.816205533597,0.961923847695,0.677484787018,0.880392156863,
pb occurence,0.79387755102,0.729559748428,0.995744680851,0.444444444444,0.850311850312,
pb weighted count,0.866803278689,0.824110671937,0.997872340426,0.572052401747,0.894,
