generator,median,firstquartile,maximum,minimum,thirdquartile
GE,0.460606061,0.363636364,1.0,4.0606e-10,0.575757576,
hopper,0.603174603175,0.497354497354,1.18518518519,0.216931216931,0.708994708995,
launchpad,0.231884057971,0.211055276382,0.389140271493,0.131221719457,0.260923109874,
launchpad-rhythm,0.108702787612,0.0810810810811,0.225409836066,0.0307692307692,0.132282208037,
notch,0.359788359788,0.285714285714,0.962962962963,0.10582010582,0.502645502646,
notch param,0.825396825397,0.746031746032,1.0,0.634920634921,0.873015873016,
notch param rand,0.804232804233,0.740740740741,1.0,0.449735449735,0.873015873016,
ORE,0.417989417989,0.322751322751,1.01058201058,0.132275132275,0.529100529101,
original,0.1420059935,0.07560989525,0.919708029,0.029585799,0.795774648,
pb count,0.0721649484536,0.0567010309278,0.335051546392,0.0154639175258,0.0876288659794,
pb occurence,0.0309278350515,0.0154639175258,0.469072164948,0.0,0.0463917525773,
pb weighted count,0.0687830687831,0.0529100529101,0.544973544974,0.00529100529101,0.0952380952381,
