generator,median,firstquartile,maximum,minimum,thirdquartile
GE,0.845382145816,0.804456521739,0.984496124031,0.623561643836,0.883284671533,
hopper,0.719836448598,0.694069648165,0.842438423645,0.610332568807,0.748962195525,
launchpad,0.693263297495,0.663481425703,0.837723577236,0.576155821918,0.724175492084,
launchpad-rhythm,0.740429024123,0.68686502508,0.91400862069,0.567711726384,0.800619587824,
notch,0.667175533584,0.627000718391,0.831428571429,0.500740740741,0.712078220859,
notch param,0.858636363636,0.80512195122,0.938864795918,0.750232843137,0.909179292929,
notch param rand,0.862216748768,0.800182926829,1.0,0.636177184466,0.919673366834,
ORE,0.508393723677,0.44899484477,0.733337378641,0.275795454545,0.566437046057,
original,0.61599537037,0.464902571593,0.858584070796,0.277777777778,0.769435096154,
pb count,0.648984811031,0.581339519243,0.819095477387,0.294810267857,0.700695332481,
pb occurence,0.603104588885,0.549449468085,0.835881642512,0.339259615385,0.64681768559,
pb weighted count,0.629350390618,0.550190377804,0.874577294686,0.231797124601,0.697448189549,
