generator,median,firstquartile,maximum,minimum,thirdquartile
GE,0.00831988241497,0.00208590995465,0.180230640496,1.07555950363e-07,0.02859496495,
hopper,0.0850971040368,0.0199523661977,0.657259337042,1.62098419703e-07,0.247654613859,
launchpad,0.788925750649,0.447371328525,0.992943932668,0.000115134470593,0.911656004872,
launchpad-rhythm,0.519205137095,0.188618482582,0.97751178088,1.03723543021e-07,0.792774601838,
notch,0.0644513310542,0.0178263947212,0.589660316723,9.56333432379e-09,0.153324047898,
notch param,0.028681580238,0.00752195596285,0.269673762054,1.50992343671e-07,0.0621936982524,
notch param rand,0.0673326147593,0.0339409249367,1.0,7.11951991806e-06,0.108324866719,
ORE,0.0248241163757,0.00480198831626,0.446537754578,5.40690249049e-09,0.0733652370558,
original,0.0120331046323,0.00261893444061,0.0742181933298,0.00026139903647,0.0336170561312,
pb count,0.0266533614597,0.00522199324731,0.623511650469,1.12098490377e-08,0.0872400840533,
pb occurence,0.0110070382082,0.00215396675025,0.446731238106,2.08413971305e-08,0.0456427446929,
pb weighted count,0.0182413648787,0.00324489021217,0.421694378453,4.48356132137e-08,0.0779224092044,
