generator,median,firstquartile,maximum,minimum,thirdquartile
GE,0.100358423,0.082437276,0.193548387,0.021505376,0.121863799,
hopper,0.103942652,0.086021505,0.204301075,0.043010753,0.11827957,
launchpad,0.118144316,0.093311975,0.166942984,0.033091606,0.1299618575,
launchpad-rhythm,0.094744188,0.06747542875,0.177241758,0.005755782,0.1138021485,
notch,0.129032258,0.114695341,0.225806452,0.0609319,0.146953405,
notch param,0.086021505,0.0609319,0.172043011,0.025089606,0.103942652,
notch param rand,0.086021505,0.05734767,0.186379928,0.0,0.103942652,
ORE,0.157706093,0.136200717,0.240143369,0.0609319,0.182795699,
original,0.122494191,0.102050568,0.236936427,0.038583175,0.207877848,
pb count,0.336917563,0.268817204,1.0,0.0609319,0.494623656,
pb occurence,0.082437276,0.071684588,0.161290323,0.050179211,0.089605735,
pb weighted count,0.086021505,0.0609319,0.172043011,0.025089606,0.103942652,
