generator,median,firstquartile,maximum,minimum,thirdquartile
GE,0.268982108,0.235754022,0.435122538,0.036385506,0.302210194,
hopper,0.302210194,0.268982108,0.468350624,0.102841678,0.33543828,
launchpad,0.185296558,0.128915391,0.283401843,0.02771731,0.217208113,
launchpad-rhythm,0.125929738,0.0940020395,0.264562609,0.0,0.178536152,
notch,0.268982108,0.202525936,0.50157871,0.102841678,0.33543828,
notch param,0.235754022,0.202525936,0.435122538,0.00315742,0.302210194,
notch param rand,0.16929785,0.069613592,0.368666366,0.00315742,0.235754022,
ORE,0.368666366,0.33543828,0.468350624,0.16929785,0.368666366,
original,0.300557055,0.232183089,0.491154212,0.146361649,0.3485198265,
pb count,0.401894452,0.368666366,0.700947226,0.235754022,0.468350624,
pb occurence,0.634491054,0.568034882,1.0,0.368666366,0.700947226,
pb weighted count,0.235754022,0.202525936,0.435122538,0.00315742,0.302210194,
