generator, leniency, linearity, density, pattern density, pattern variation, compression distance
GE,0.84,0.02,0.47,0.1,0.27,0.56
hopper,0.72,0.15,0.6,0.1,0.29,0.65
launchpad,0.7,0.66,0.24,0.11,0.17,0.8
launchpad-rhythm,0.74,0.49,0.11,0.09,0.13,0.81
notch,0.67,0.1,0.4,0.13,0.27,0.53
notch param,0.85,0.04,0.81,0.08,0.24,0.36
notch param rand,0.86,0.08,0.8,0.08,0.17,0.47
ORE,0.51,0.05,0.43,0.16,0.35,0.73
original,0.61,0.02,0.35,0.14,0.3,0.76
pb count,0.63,0.07,0.08,0.39,0.41,0.85
pb occurence,0.6,0.04,0.06,0.08,0.64,0.79
pb weighted count,0.61,0.06,0.09,0.08,0.24,0.86
