generator, leniency, linearity, density, pattern density, pattern variation, compression distance
GE,0.06,0.03,0.16,0.03,0.06,0.04
hopper,0.04,0.16,0.15,0.02,0.05,0.05
launchpad,0.05,0.31,0.04,0.03,0.05,0.07
launchpad-rhythm,0.07,0.32,0.04,0.03,0.06,0.09
notch,0.06,0.11,0.16,0.02,0.08,0.03
notch param,0.06,0.05,0.08,0.03,0.07,0.08
notch param rand,0.08,0.06,0.1,0.03,0.09,0.08
ORE,0.08,0.06,0.15,0.03,0.05,0.04
original,0.18,0.02,0.37,0.06,0.1,0.11
pb count,0.1,0.09,0.05,0.17,0.07,0.04
pb occurence,0.08,0.06,0.09,0.02,0.11,0.08
pb weighted count,0.12,0.08,0.08,0.03,0.07,0.05
