,CompressionDistanceMetric,LinearityMetric,LeniencyMetric,SolvabilityMetric,AveragePairWiseDistanceMetric,AveragePairWiseDistanceMetricOnlyPlayable,RLAgentMetric,RLDifficultyMetric,GenerationTime,Files
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-a0fdcb25d3646cde58f103e03c9781ea,0.4942327246768917,0.20550274259977921,0.4129938569889006,0.6839999999999999,0.4848837353123067,0.3898546691403834,0.23304388072396426,0.4973939393939394,7.104357812738046,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_03-02-51.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_06-13-41.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_03-39-24.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_03-43-07.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_06-29-36.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-bb8e2a0099df62656ee41df1538a8f08,0.495537318023984,0.07308369506745138,0.05338722541728992,0.084,0.49295258709544426,0.3024384662956091,0.2280133910538884,0.9415151515151514,7.045278949593194,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_11-58-30.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_11-54-59.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_08-53-42.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_13-41-51.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/50/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_14-55-47.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-a042a7e6ed47b47415fed9f5febbe1a7,0.4936063850279949,0.2542221875839068,0.5462021432130746,0.922,0.4844683570397856,0.4217876726448154,0.14675976950145234,0.3205454545454546,15.671924983806907,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_04-14-41.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_04-49-26.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_03-23-32.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_03-02-27.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_05-48-25.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-b5aafae53c53e17c3d39f477d9b93646,0.4951074581260193,0.07880188210973478,0.05278876034866222,0.078,0.49285075242218096,0.302417439703154,0.2325420984129661,0.9457575757575757,15.605518450434321,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_17-47-37.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_15-55-58.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_17-24-43.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_18-39-51.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/100/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_17-52-36.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-5c862c42ea814a0b034d1ca6721cbe96,0.4955298304605636,0.11981251080930022,0.1653676822133796,0.274,0.47454854669140384,0.2329692846835704,0.20477940234855646,0.800121212121212,1.2867204151060432,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_06-31-11.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_08-51-01.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_06-49-40.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_02-05-57.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_08-45-09.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-238314024e629945d7d7817c2cd06c3f,0.49386736423804783,0.09536507704414673,0.08429677900987789,0.13799999999999998,0.46840115440115443,0.2877645846217275,0.22122984629359807,0.8986464646464645,1.3093921138858424,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_08-54-29.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_06-40-08.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_08-21-52.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_07-21-30.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/50/10/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_08-02-29.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-2bd6d55e2a16dce1c95f4f38114d8943,0.49393232882192706,0.2236892484957767,0.48048783365345776,0.8,0.47100164914450626,0.40246712018140585,0.19762632778346748,0.41571717171717176,15.960827586219647,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_10-08-20.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_10-39-04.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_10-24-28.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_07-45-02.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_10-06-11.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-23ee148a3c5c8a1c01b0847925c043c5,0.49525685269013425,0.0716901058273093,0.04439269642936751,0.072,0.4920960626674913,0.3060756545042259,0.23310410945559448,0.9503030303030304,15.903408569525928,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_01-33-51.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_01-53-30.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_00-18-46.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_03-28-42.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/50/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_03-40-43.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-7085d9a8ba8704c1c805b68e2a37564b,0.49314905459221786,0.22067405963169567,0.5357960209461101,0.9099999999999999,0.4783055040197898,0.4289507318078747,0.15674042916746841,0.34624242424242424,34.70597550493386,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_09-56-23.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_11-26-36.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_09-34-31.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_10-53-32.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_12-53-37.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-f7ff8eca9623ff4dff91fab2f2d76a5b,0.4941500093157599,0.07204705820103541,0.039473068100446235,0.048,0.4930395794681509,0.3060847247990105,0.23504940301388194,0.9669494949494949,35.0525391953839,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_04-57-20.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_04-10-08.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_05-30-13.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_06-37-11.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/100/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_05-19-16.p
